Time(s),Sensor(g),Hammer(N)
1.097699128872221645e-02,1.541506721199999985e+00,-1.576749791909090526e+01
1.101605531466072832e-02,1.511610743200000107e+00,-1.579940325772727228e+01
1.105511934059924192e-02,-3.483091997599999878e+00,-1.575112909318181487e+01
1.109418336653775553e-02,2.166515697999999546e+00,-1.571395243772727035e+01
1.113324739247626913e-02,6.221996631999999749e+00,-1.568537635181817969e+01
1.117231141841478100e-02,1.561640747200000012e+00,-1.574558033863636020e+01
1.121137544435329460e-02,7.578175813599999699e+00,-1.578997037499999756e+01
1.125043947029180820e-02,6.311684565999999386e+00,-1.568398916318181513e+01
1.128950349623032180e-02,4.358195946399999521e+00,-1.563765706272726952e+01
1.132856752216883540e-02,4.930490382399999483e+00,-1.562378517636363462e+01
1.136763154810734727e-02,1.102462929999999952e+00,-1.564070887772727225e+01
1.140669557404586087e-02,4.000664454399999848e+00,-1.557745307590908901e+01
1.144575959998437448e-02,7.988662227999999699e-01,-1.562683699136363380e+01
1.148482362592288808e-02,-1.537782679999999957e-01,-1.564930944727272610e+01
1.152388765186139995e-02,4.740132318399999711e+00,-1.561324254272727075e+01
1.156295167779991355e-02,1.914047214400000030e+00,-1.563626987409090852e+01
1.160201570373842715e-02,1.763713153599999917e+00,-1.557995001545454272e+01
1.164107972967694075e-02,5.408337932799999415e+00,-1.557162688363636072e+01
1.168014375561545436e-02,4.445931489999999542e+00,-1.556552325363636236e+01
1.171920778155396622e-02,4.368201947199999324e+00,-1.553334047727272527e+01
1.175827180749247983e-02,3.185297413599999850e+00,-1.559437677727272487e+01
1.179733583343099343e-02,2.118194035599999747e+00,-1.556829763090908969e+01
1.183639985936950703e-02,2.405073399999999584e+00,-1.554055385818181634e+01
1.187546388530802063e-02,-2.853205711999999838e-01,-1.551447471181817939e+01
1.191452791124653250e-02,-1.043583859999999974e-01,-1.554055385818181634e+01
1.195359193718504610e-02,2.728804133199999704e+00,-1.554443798636363461e+01
1.199265596312355971e-02,1.529548329999999901e+00,-1.554887698999999834e+01
1.203171998906207331e-02,3.875833493199999591e+00,-1.553472766590908805e+01
1.207078401500058518e-02,6.155127260799999611e+00,-1.556996225727272609e+01
1.210984804093909878e-02,5.396745614799999480e+00,-1.555414830681817939e+01
1.214891206687761238e-02,5.759524155999999451e+00,-1.553001122454545246e+01
1.218797609281612598e-02,4.242394790799999704e+00,-1.547063955090908927e+01
1.222704011875463959e-02,3.846669661599999568e+00,-1.549255713136363433e+01
1.226610414469315145e-02,2.408612107599999774e+00,-1.557828538909090632e+01
1.230516817063166506e-02,-2.199154927999999731e-01,-1.552085577954545315e+01
1.234423219657017866e-02,6.925829704000000531e-01,-1.555470318227272486e+01
1.238329622250869226e-02,1.104903417999999915e+00,-1.549255713136363433e+01
1.242236024844720413e-02,6.147277359999999552e-02,-1.543457264636363391e+01
1.246142427438571773e-02,1.226805793600000083e+00,-1.548922787863636152e+01
1.250048830032423133e-02,2.488416065199999583e+00,-1.543845677454545218e+01
1.253955232626274494e-02,3.371628672399999527e+00,-1.536049677318181672e+01
1.257861635220125854e-02,3.675835501599999500e+00,-1.540988068863636151e+01
1.261768037813977041e-02,3.240696491199999585e+00,-1.541515200545454256e+01
1.265674440407828401e-02,3.451432629999999779e+00,-1.538158204045454269e+01
1.269580843001679761e-02,1.972496901999999830e+00,-1.541237762818181700e+01
1.273487245595531121e-02,6.598767640000000045e-02,-1.538463385545454365e+01
1.277393648189382308e-02,1.247549941599999990e+00,-1.551891371545454312e+01
1.281300050783233668e-02,1.975791560800000068e+00,-1.549588638409090713e+01
1.285206453377085029e-02,1.854011209599999876e+00,-1.547785293181818034e+01
1.289112855970936389e-02,3.170044363599999748e+00,-1.549422175772727073e+01
1.293019258564787749e-02,3.693651063999999540e+00,-1.544123115181817951e+01
1.296925661158638936e-02,4.353681043599999967e+00,-1.545260609863636247e+01
1.300832063752490296e-02,3.733797091599999618e+00,-1.547507855454545300e+01
1.304738466346341656e-02,2.621056587999999632e+00,-1.549172481818181701e+01
1.308644868940193016e-02,3.381512648799999798e+00,-1.544983172136363514e+01
1.312551271534044203e-02,1.698918197200000035e+00,-1.537575584818181618e+01
1.316457674127895563e-02,2.534171547999999885e-01,-1.536909734272727057e+01
1.320364076721746924e-02,7.388302180000000385e-01,-1.534828951318181645e+01
1.324270479315598284e-02,2.396283976000000149e-01,-1.534107613227272537e+01
1.328176881909449644e-02,3.529890651999999518e-01,-1.531527442363636204e+01
1.332083284503300831e-02,2.237899971999999682e+00,-1.531028054454545284e+01
1.335989687097152191e-02,3.547953930399999845e+00,-1.540017036818181673e+01
1.339896089691003551e-02,4.172840882800000095e+00,-1.530833848045454282e+01
1.343802492284854912e-02,3.441304604799999556e+00,-1.530167997499999721e+01
1.347708894878706272e-02,2.645827541199999633e+00,-1.528780808863636231e+01
1.351615297472557459e-02,2.773587087999999756e+00,-1.525174118409090696e+01
1.355521700066408819e-02,8.240032492000000097e-01,-1.530278972590908815e+01
1.359428102660260179e-02,2.801404983999999931e-01,-1.526866488545454281e+01
1.363334505254111539e-02,8.452354948000000423e-01,-1.524119855045454308e+01
1.367240907847962726e-02,-4.041760039999999637e-02,-1.522011328318181533e+01
1.371147310441814086e-02,4.452395115999999708e-01,-1.520457677045454403e+01
1.375053713035665447e-02,1.196299693600000102e+00,-1.523426260727272563e+01
1.378960115629516807e-02,1.756147640800000076e+00,-1.525479299909090791e+01
1.382866518223368167e-02,2.650220419599999655e+00,-1.523010104136363374e+01
1.386772920817219354e-02,2.390552496399999782e+00,-1.528725321318181685e+01
1.390679323411070714e-02,3.311836716399999769e+00,-1.521567427954545337e+01
1.394585726004922074e-02,3.456435630399999681e+00,-1.525174118409090696e+01
1.398492128598773435e-02,1.514051231200000069e+00,-1.523731442227272481e+01
1.402398531192624621e-02,2.167125819999999869e+00,-1.521206758909090695e+01
1.406304933786475982e-02,-1.556204697199999876e+00,-1.510497662636363359e+01
1.410211336380327342e-02,9.771438712000000137e-01,-1.513105577272727054e+01
1.414117738974178702e-02,9.634164929200000671e+00,-1.515491541727272562e+01
1.418024141568030062e-02,6.080448327999999236e+00,-1.509332424181818055e+01
1.421930544161881249e-02,-1.381343731999999935e+00,-1.508194929499999759e+01
1.425836946755732609e-02,-1.164140299999999906e+00,-1.506280609181817987e+01
1.429743349349583970e-02,1.898672139999999953e+00,-1.502479712318181626e+01
1.433649751943435330e-02,1.751754762400000054e+00,-1.505503783545454333e+01
1.437556154537286690e-02,4.183941435999999903e-01,-1.501591911590908879e+01
1.441462557131137877e-02,1.150784592399999973e+00,-1.506030915227272615e+01
1.445368959724989237e-02,2.876087583999999531e+00,-1.504394032636363399e+01
1.449275362318840597e-02,4.139040124000000098e+00,-1.508361392136363399e+01
1.453181764912691958e-02,4.235317375599999323e+00,-1.508222673272727121e+01
