Frequency(Hz),Magnitude
3.210000000000000000e+02,1.690278376230920903e-03
3.220000000000000000e+02,1.717557371785934485e-03
3.230000000000000000e+02,1.710636585994221000e-03
3.240000000000000000e+02,1.320090704340688963e-03
3.250000000000000000e+02,1.503753723951081409e-03
3.260000000000000000e+02,6.626159653152363530e-04
3.270000000000000000e+02,1.368320095579442491e-03
3.280000000000000000e+02,2.683256150172052493e-03
3.290000000000000000e+02,3.110076034019722616e-03
3.300000000000000000e+02,1.807861769330521831e-03
3.310000000000000000e+02,2.601699620277079985e-03
3.320000000000000000e+02,4.116968839190659167e-03
3.330000000000000000e+02,2.858285559584840610e-03
3.340000000000000000e+02,4.272137333613640689e-03
3.350000000000000000e+02,6.524305962472862902e-03
3.360000000000000000e+02,7.434459739927260988e-03
3.370000000000000000e+02,6.658420328016394392e-03
3.380000000000000000e+02,5.653956581760496460e-03
3.390000000000000000e+02,5.098070980460506739e-03
3.400000000000000000e+02,5.034115002576377944e-03
3.410000000000000000e+02,4.494365364788510328e-03
3.420000000000000000e+02,4.814768106668960643e-03
3.430000000000000000e+02,5.444880572278331526e-03
3.440000000000000000e+02,7.000546981101548813e-03
3.450000000000000000e+02,7.668851513905282878e-03
3.460000000000000000e+02,5.830069950776788253e-03
3.470000000000000000e+02,4.535793292424906975e-03
3.480000000000000000e+02,6.062573298040797691e-03
3.490000000000000000e+02,5.994600171091569833e-03
3.500000000000000000e+02,5.085891612894712782e-03
3.510000000000000000e+02,5.579899657064950336e-03
3.520000000000000000e+02,6.732452496322652129e-03
3.530000000000000000e+02,6.326353763009179114e-03
3.540000000000000000e+02,5.946965413290651072e-03
3.550000000000000000e+02,4.712850021186391382e-03
3.560000000000000000e+02,5.261410272490025554e-03
3.570000000000000000e+02,5.696060762940347369e-03
3.580000000000000000e+02,4.621927942415987763e-03
3.590000000000000000e+02,3.415437345162695634e-03
3.600000000000000000e+02,5.033613213690114364e-03
3.610000000000000000e+02,6.862495983983855907e-03
3.620000000000000000e+02,7.151490127447299172e-03
3.630000000000000000e+02,6.233241592549210695e-03
3.640000000000000000e+02,5.075574639964663091e-03
3.650000000000000000e+02,5.438922656153816725e-03
3.660000000000000000e+02,5.520732069008264797e-03
3.670000000000000000e+02,4.762985669907985817e-03
3.680000000000000000e+02,4.633428880922141856e-03
3.690000000000000000e+02,4.231330036310635215e-03
3.700000000000000000e+02,4.494679574609652083e-03
3.710000000000000000e+02,4.684305552362344818e-03
3.720000000000000000e+02,4.426710743017983445e-03
3.730000000000000000e+02,4.246944854126451750e-03
3.740000000000000000e+02,4.832532847417708548e-03
3.750000000000000000e+02,3.532921145052737247e-03
3.760000000000000000e+02,2.732013659266993143e-03
3.770000000000000000e+02,2.931061729657352330e-03
3.780000000000000000e+02,2.629528717347855930e-03
3.790000000000000000e+02,3.208960061009257392e-03
3.800000000000000000e+02,4.238784973232470957e-03
3.810000000000000000e+02,5.071548074335105287e-03
3.820000000000000000e+02,4.976697082470038155e-03
3.830000000000000000e+02,3.759708229917923736e-03
3.840000000000000000e+02,4.707159282000872996e-03
3.850000000000000000e+02,5.387413131601895798e-03
3.860000000000000000e+02,5.040314254509479196e-03
3.870000000000000000e+02,5.537092822065032768e-03
3.880000000000000000e+02,5.421624798074223782e-03
3.890000000000000000e+02,5.210851387857701536e-03
3.900000000000000000e+02,5.479899889363112550e-03
3.910000000000000000e+02,7.206839794826356248e-03
3.920000000000000000e+02,8.453544093458959657e-03
3.930000000000000000e+02,9.465242051354376060e-03
3.940000000000000000e+02,1.050960977663537542e-02
3.950000000000000000e+02,1.085374335424903539e-02
3.960000000000000000e+02,1.057558937910350362e-02
3.970000000000000000e+02,9.553232042500340096e-03
3.980000000000000000e+02,7.914647077467010586e-03
3.990000000000000000e+02,9.177869569176306738e-03
4.000000000000000000e+02,1.269723113043753210e-02
4.010000000000000000e+02,1.399327493207619573e-02
4.020000000000000000e+02,1.427886111503159222e-02
4.030000000000000000e+02,1.401639293182368497e-02
4.040000000000000000e+02,1.277061092945084957e-02
4.050000000000000000e+02,1.082602064094620800e-02
4.060000000000000000e+02,9.360322379090584358e-03
4.070000000000000000e+02,7.758389286214483621e-03
4.080000000000000000e+02,9.728105492192001477e-03
4.090000000000000000e+02,1.106758928823711047e-02
4.100000000000000000e+02,1.083382377992797747e-02
4.110000000000000000e+02,1.030860815643238997e-02
4.120000000000000000e+02,9.380720893019858092e-03
4.130000000000000000e+02,9.296855320478525364e-03
4.140000000000000000e+02,9.171204479575411142e-03
4.150000000000000000e+02,6.744372900069313566e-03
4.160000000000000000e+02,7.856325266359456133e-03
4.170000000000000000e+02,8.700374299121436256e-03
4.180000000000000000e+02,7.463730485885986844e-03
4.190000000000000000e+02,6.483229730741457003e-03
4.200000000000000000e+02,5.356169290134406985e-03
4.210000000000000000e+02,5.424262949886250393e-03
4.220000000000000000e+02,7.174386445627131161e-03
4.230000000000000000e+02,6.313032179496268215e-03
4.240000000000000000e+02,6.639516339373464048e-03
4.250000000000000000e+02,8.255682324150278098e-03
4.260000000000000000e+02,6.842057119764039311e-03
4.270000000000000000e+02,5.936861196242857776e-03
4.280000000000000000e+02,5.669123755920661874e-03
4.290000000000000000e+02,4.056420768332421808e-03
4.300000000000000000e+02,5.740896885992559373e-03
4.310000000000000000e+02,5.390241424923107594e-03
4.320000000000000000e+02,5.043625649104476263e-03
4.330000000000000000e+02,6.590292027909876865e-03
4.340000000000000000e+02,7.472957758680956290e-03
4.350000000000000000e+02,7.519549792805040739e-03
4.360000000000000000e+02,8.121618052478405889e-03
4.370000000000000000e+02,5.401465241317055140e-03
4.380000000000000000e+02,2.662010180306676084e-03
4.390000000000000000e+02,4.960812706452525159e-03
4.400000000000000000e+02,3.970860212888524185e-03
4.410000000000000000e+02,4.645206936425584458e-03
4.420000000000000000e+02,4.659231436854220122e-03
4.430000000000000000e+02,3.715135619909761162e-03
4.440000000000000000e+02,6.220165299106543075e-03
4.450000000000000000e+02,6.892156937177255048e-03
4.460000000000000000e+02,3.216265199972369662e-03
4.470000000000000000e+02,2.655022897932231112e-03
4.480000000000000000e+02,6.157120927775462660e-03
4.490000000000000000e+02,4.539055766435830773e-03
4.500000000000000000e+02,2.137876394693207730e-03
4.510000000000000000e+02,8.439868771196938450e-04
4.520000000000000000e+02,1.875331549165596074e-03
4.530000000000000000e+02,3.300234930975779520e-03
4.540000000000000000e+02,2.783538161227440584e-03
4.550000000000000000e+02,1.962725461603408942e-03
4.560000000000000000e+02,4.188858547749528191e-03
4.570000000000000000e+02,5.432801496600084962e-03
4.580000000000000000e+02,3.890568185310051656e-03
4.590000000000000000e+02,3.494452846911985742e-03
4.600000000000000000e+02,2.673224021881936453e-03
4.610000000000000000e+02,7.977765658855346526e-04
4.620000000000000000e+02,7.847391138148305080e-04
4.630000000000000000e+02,9.806330924138461757e-04
4.640000000000000000e+02,3.026693085666880279e-03
4.650000000000000000e+02,4.440680514915363621e-03
4.660000000000000000e+02,4.630833406854960310e-03
4.670000000000000000e+02,3.955739670553847474e-03
4.680000000000000000e+02,5.798086259942879760e-03
4.690000000000000000e+02,5.409602677048778487e-03
4.700000000000000000e+02,3.630199862678146119e-03
4.710000000000000000e+02,4.106941269440760739e-03
4.720000000000000000e+02,3.694897791834778674e-03
4.730000000000000000e+02,2.342674476253742057e-03
4.740000000000000000e+02,3.720653687924440050e-03
4.750000000000000000e+02,3.719080610919778783e-03
4.760000000000000000e+02,2.857999100776791816e-03
4.770000000000000000e+02,3.923001649257009012e-03
4.780000000000000000e+02,3.394072809057879867e-03
4.790000000000000000e+02,4.508607598464687942e-03
4.800000000000000000e+02,4.489489312130771903e-03
4.810000000000000000e+02,1.345192055337358656e-03
4.820000000000000000e+02,3.385133809732795377e-03
4.830000000000000000e+02,4.655542981414518590e-03
4.840000000000000000e+02,4.754326472651224274e-03
4.850000000000000000e+02,4.697215796070530053e-03
4.860000000000000000e+02,3.789239144568353184e-03
4.870000000000000000e+02,3.385485504259766465e-03
4.880000000000000000e+02,5.281990689883675656e-03
4.890000000000000000e+02,3.665949991157594311e-03
4.900000000000000000e+02,1.544720762315920752e-03
4.910000000000000000e+02,5.969932130980110281e-03
4.920000000000000000e+02,6.950702647030854685e-03
4.930000000000000000e+02,6.516885667675822655e-03
4.940000000000000000e+02,5.268755644039217756e-03
4.950000000000000000e+02,3.929341239491817260e-03
4.960000000000000000e+02,3.588919574474508638e-03
4.970000000000000000e+02,3.780875288793533306e-03
4.980000000000000000e+02,8.129580738239311445e-04
4.990000000000000000e+02,4.710709480843722034e-03
5.000000000000000000e+02,8.284094686966754842e-03
5.010000000000000000e+02,8.385882805960302722e-03
5.020000000000000000e+02,7.661376110544885001e-03
5.030000000000000000e+02,5.549342823090407106e-03
5.040000000000000000e+02,4.577499616639848189e-03
5.050000000000000000e+02,5.238108926490838042e-03
5.060000000000000000e+02,3.886535034120514563e-03
5.070000000000000000e+02,5.133811531590544864e-04
5.080000000000000000e+02,4.783650944700079850e-03
5.090000000000000000e+02,6.210278550299971889e-03
5.100000000000000000e+02,6.584470289225206538e-03
5.110000000000000000e+02,7.705676789187987374e-03
5.120000000000000000e+02,6.497485078522755031e-03
5.130000000000000000e+02,5.868135998211394637e-03
5.140000000000000000e+02,5.423969593330009095e-03
5.150000000000000000e+02,2.528296578466737374e-03
5.160000000000000000e+02,2.922107650164160967e-03
5.170000000000000000e+02,4.594433829814827293e-03
5.180000000000000000e+02,4.154272656890122678e-03
5.190000000000000000e+02,5.576418800430535741e-03
5.200000000000000000e+02,6.646002466894777860e-03
5.210000000000000000e+02,5.984662693031025764e-03
5.220000000000000000e+02,6.105385039741291486e-03
5.230000000000000000e+02,4.868237387685607660e-03
5.240000000000000000e+02,3.402271407212906305e-03
5.250000000000000000e+02,4.898563776442036409e-03
5.260000000000000000e+02,3.886230462972014091e-03
5.270000000000000000e+02,3.739806398770057373e-03
5.280000000000000000e+02,5.907549219902418110e-03
